Date,Open,High,Low,Close,Volume,Daily_Return,Cumulative_Return,SMA_20,SMA_50,RSI,Ticker,Processing_Date
2025-06-27,724.1465793868571,733.0274448848292,723.488701447296,731.2333374023438,18775700,,,,,,META,2026-06-27T16:07:22.305463
2025-06-30,742.1177521024767,745.4568450948445,731.8514114766995,735.6788940429688,15402100,0.006079532227589057,0.006079532227589057,,,,META,2026-06-27T16:07:22.305463
2025-07-01,734.4727647300622,735.3399177465482,713.0330238804761,716.8704223632812,13431200,-0.025566142826694893,-0.019642040788355852,,,,META,2026-06-27T16:07:22.305463
2025-07-02,712.9932128907722,717.9469479430355,710.4714485666279,711.2389526367188,9336700,-0.007855631298048893,-0.027343371456030163,,,,META,2026-06-27T16:07:22.305463
2025-07-03,724.2363423193813,726.6484806198991,712.0861613983789,716.6611938476562,8601700,0.0076236561437419414,-0.019928171774079573,,,,META,2026-06-27T16:07:22.305463
2025-07-07,715.2556849998467,724.6250009558648,711.1790804792781,716.0032348632812,9457100,-0.0009180893147604507,-0.020827965247271485,,,,META,2026-06-27T16:07:22.305463
2025-07-08,719.2128191233631,720.5484076114845,712.4748926138262,718.3157348632812,7770700,0.003229734011525265,-0.017665500023496206,,,,META,2026-06-27T16:07:22.305463
2025-07-09,720.3589752323313,735.1206520424314,720.3589752323313,730.3861694335938,11418000,0.016803800869835905,-0.0011585466983211612,,,,META,2026-06-27T16:07:22.305463
2025-07-10,729.1601755610233,733.3962917497249,717.2492014044612,724.8642578125,9913600,-0.00756026312132374,-0.008710050901767241,,,,META,2026-06-27T16:07:22.305463
2025-07-11,720.1397657932962,722.791049443565,707.3815924903404,715.1660766601562,10873900,-0.013379306605089014,-0.021972823065295577,,,,META,2026-06-27T16:07:22.305463
2025-07-14,715.2557188520466,725.6217684499236,714.2091611608587,718.5648803710938,8939400,0.004752467744009836,-0.017324780454148425,,,,META,2026-06-27T16:07:22.305463
2025-07-15,721.5351494521201,722.1032338104419,707.5011297082585,708.0692749023438,11529500,-0.014606343498626995,-0.031678072258423784,,,,META,2026-06-27T16:07:22.305463
2025-07-16,711.0394977501286,711.6375132851348,696.985585155631,700.6136474609375,13067600,-0.010529516963484253,-0.04187403442269244,,,,META,2026-06-27T16:07:22.305463
2025-07-17,702.0888975460598,703.5939743779064,694.8326508122145,699.1185913085938,11803300,-0.0021339238220121626,-0.043918602245126226,,,,META,2026-06-27T16:07:22.305463
2025-07-18,699.8960490076172,702.407835998619,689.3905035678976,701.979248046875,12779800,0.004091804700725676,-0.040006503887516476,,,33.79714236841447,META,2026-06-27T16:07:22.305463
